year,team_name,team_code,performance,ccs,ccs_source_years,prior_windows,source,evaluable
1970,Soviet Union,SUN,quarter-finals,1,1966,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Sweden,SWE,group stage,0,,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Uruguay,URY,third-place match,1,1966,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Germany,DEU,third-place match,1,1966,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Argentina,ARG,second group stage,1,1966,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Australia,AUS,group stage,0,,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Brazil,BRA,third-place match,1,1970,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Bulgaria,BGR,group stage,0,,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Chile,CHL,group stage,0,,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,East Germany,DDR,second group stage,0,,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Haiti,HTI,group stage,0,,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Italy,ITA,group stage,1,1970,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Netherlands,NLD,final,0,,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Poland,POL,third-place match,0,,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Scotland,SCO,group stage,0,,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Sweden,SWE,second group stage,0,,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Uruguay,URY,group stage,1,1966;1970,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Germany,DEU,final,1,1966;1970,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Yugoslavia,YUG,second group stage,0,,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1974,Zaire,COD,group stage,0,,1966;1970,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Argentina,ARG,final,0,,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Austria,AUT,second group stage,0,,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Brazil,BRA,third-place match,1,1970,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,France,FRA,group stage,0,,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Hungary,HUN,group stage,0,,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Iran,IRN,group stage,0,,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Italy,ITA,third-place match,1,1970,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Mexico,MEX,group stage,1,1970,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Netherlands,NLD,final,1,1974,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Peru,PER,second group stage,1,1970,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Poland,POL,second group stage,0,,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Scotland,SCO,group stage,0,,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Spain,ESP,group stage,0,,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Sweden,SWE,group stage,0,,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Tunisia,TUN,group stage,0,,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1978,Germany,DEU,second group stage,1,1970;1974,1970;1974,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Algeria,DZA,group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Argentina,ARG,second group stage,1,1978,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Austria,AUT,second group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Belgium,BEL,second group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Brazil,BRA,second group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Cameroon,CMR,group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Chile,CHL,group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Czechoslovakia,CSK,group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,El Salvador,SLV,group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,England,ENG,second group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,France,FRA,third-place match,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Honduras,HND,group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Hungary,HUN,group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Italy,ITA,final,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Kuwait,KWT,group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,New Zealand,NZL,group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Northern Ireland,NIR,second group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Peru,PER,group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Poland,POL,third-place match,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Scotland,SCO,group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Soviet Union,SUN,second group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Spain,ESP,second group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Germany,DEU,final,1,1974,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1982,Yugoslavia,YUG,group stage,0,,1974;1978,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Algeria,DZA,group stage,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Argentina,ARG,final,1,1978,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Belgium,BEL,third-place match,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Brazil,BRA,quarter-finals,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Bulgaria,BGR,round of 16,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Canada,CAN,group stage,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Denmark,DNK,round of 16,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,England,ENG,quarter-finals,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,France,FRA,third-place match,1,1982,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Hungary,HUN,group stage,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Iraq,IRQ,group stage,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Italy,ITA,round of 16,1,1982,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Mexico,MEX,quarter-finals,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Morocco,MAR,round of 16,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Northern Ireland,NIR,group stage,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Paraguay,PRY,round of 16,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Poland,POL,round of 16,1,1982,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Portugal,PRT,group stage,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Scotland,SCO,group stage,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,South Korea,KOR,group stage,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Soviet Union,SUN,round of 16,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Spain,ESP,quarter-finals,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
