year,team_name,team_code,performance,source,ccs,ccs_source_years,prior_windows,team_code_rank,fifa_rank,fifa_points,ranking_official_date,rank_bucket
2010,Brazil,BRA,quarter-finals,Fjelstul qualified_teams.csv,1,2002;2006,2002;2006,BRA,1.0,1611.0,2010-05-26,Top 5
2010,Cameroon,CMR,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,CMR,19.0,887.0,2010-05-26,16-25
2010,Chile,CHL,round of 16,Fjelstul qualified_teams.csv,0,,2002;2006,CHI,18.0,888.0,2010-05-26,16-25
2010,Denmark,DNK,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,DEN,36.0,767.0,2010-05-26,26+
2010,England,ENG,round of 16,Fjelstul qualified_teams.csv,1,2002,2002;2006,ENG,8.0,1068.0,2010-05-26,6-10
2010,France,FRA,group stage,Fjelstul qualified_teams.csv,1,2006,2002;2006,FRA,9.0,1044.0,2010-05-26,6-10
2010,Germany,DEU,third-place match,Fjelstul qualified_teams.csv,1,2002;2006,2002;2006,GER,6.0,1082.0,2010-05-26,6-10
2010,Ghana,GHA,quarter-finals,Fjelstul qualified_teams.csv,0,,2002;2006,GHA,32.0,800.0,2010-05-26,26+
2010,Greece,GRC,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,GRE,13.0,964.0,2010-05-26,11-15
2010,Honduras,HND,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,HON,38.0,734.0,2010-05-26,26+
2010,Italy,ITA,group stage,Fjelstul qualified_teams.csv,1,2006,2002;2006,ITA,5.0,1184.0,2010-05-26,Top 5
2010,Ivory Coast,CIV,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,CIV,27.0,856.0,2010-05-26,26+
2010,Japan,JPN,round of 16,Fjelstul qualified_teams.csv,0,,2002;2006,JPN,45.0,682.0,2010-05-26,26+
2010,Mexico,MEX,round of 16,Fjelstul qualified_teams.csv,0,,2002;2006,MEX,17.0,895.0,2010-05-26,16-25
2010,Netherlands,NLD,final,Fjelstul qualified_teams.csv,0,,2002;2006,NED,4.0,1231.0,2010-05-26,Top 5
2010,New Zealand,NZL,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,NZL,78.0,410.0,2010-05-26,26+
2010,Nigeria,NGA,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,NGA,21.0,883.0,2010-05-26,16-25
2010,North Korea,PRK,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,PRK,105.0,285.0,2010-05-26,26+
2010,Paraguay,PRY,quarter-finals,Fjelstul qualified_teams.csv,1,2002,2002;2006,PAR,31.0,820.0,2010-05-26,26+
2010,Portugal,PRT,round of 16,Fjelstul qualified_teams.csv,1,2006,2002;2006,POR,3.0,1249.0,2010-05-26,Top 5
2010,Serbia,SRB,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,SRB,15.0,947.0,2010-05-26,11-15
2010,Slovakia,SVK,round of 16,Fjelstul qualified_teams.csv,0,,2002;2006,SVK,34.0,777.0,2010-05-26,26+
2010,Slovenia,SVN,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,SVN,25.0,860.0,2010-05-26,16-25
2010,South Africa,ZAF,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,RSA,83.0,392.0,2010-05-26,26+
2010,South Korea,KOR,round of 16,Fjelstul qualified_teams.csv,1,2002,2002;2006,KOR,47.0,632.0,2010-05-26,26+
2010,Spain,ESP,final,Fjelstul qualified_teams.csv,1,2006,2002;2006,ESP,2.0,1565.0,2010-05-26,Top 5
2010,Switzerland,CHE,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,SUI,24.0,866.0,2010-05-26,16-25
2010,USA,USA,round of 16,Fjelstul qualified_teams.csv,1,2002,2002;2006,USA,14.0,957.0,2010-05-26,11-15
2010,Uruguay,URY,third-place match,Fjelstul qualified_teams.csv,0,,2002;2006,URU,16.0,899.0,2010-05-26,16-25
2014,Algeria,DZA,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010,ALG,22.0,858.0,2014-06-05,16-25
2014,Argentina,ARG,final,Fjelstul qualified_teams.csv,0,,2006;2010,ARG,5.0,1175.0,2014-06-05,Top 5
2014,Australia,AUS,group stage,Fjelstul qualified_teams.csv,1,2006,2006;2010,AUS,62.0,526.0,2014-06-05,26+
